campaña,edad,alcance,impresiones,clics,clics_link,vistas_video,vistas_pagina_destino,gasto_mxn,cpc,cpm,ctr
Anuncios mes Mayo-Junio,18-24,3671,4750,408,374,1571,68,45.27,0.11,9.53,8.59%
Anuncios mes Mayo-Junio,25-34,7255,8499,709,630,3199,182,81.58,0.12,9.60,8.34%
Anuncios mes Mayo-Junio,35-44,11730,12058,1016,939,5062,253,121.63,0.12,10.09,8.43%
Anuncios mes Mayo-Junio,45-54,11622,12497,1215,1101,5940,323,136.65,0.11,10.93,9.72%
Anuncios mes Mayo-Junio,55-64,7931,8408,885,813,4339,265,99.23,0.11,11.80,10.53%
Anuncios mes Mayo-Junio,65+,3233,3451,408,369,1928,146,44.79,0.11,12.98,11.82%
